predictor,bucket_id,bin_label,edge,n_events,alert_rate,target_alert_rate,relative_error_pct,point_idx,mapping_new_fit_month,eval_month,seed
custom,0,>= 0.2,0.2,150937,0.724474449604802,0.7,3.4963499435431507,0,2,3,1
custom,1,>= 0.5,0.5,150937,0.41118479895585575,0.35,17.481371130244504,0,2,3,1
custom,2,>= 0.6,0.6,150937,0.15372638915574047,0.1,53.72638915574046,0,2,3,1
custom,3,>= 0.8,0.8,150937,0.08719531990168083,0.05,74.39063980336165,0,2,3,1
default,0,>= 0.2,0.2,150937,0.6974830558444914,0.7,-0.35956345078693086,0,2,3,1
default,1,>= 0.5,0.5,150937,0.38209981647972335,0.35,9.171376137063822,0,2,3,1
default,2,>= 0.6,0.6,150937,0.13339340254543286,0.1,33.393402545432856,0,2,3,1
default,3,>= 0.8,0.8,150937,0.07234144046853985,0.05,44.6828809370797,0,2,3,1
raw,0,>= 0.2,0.2,150937,0.007460066120301848,0.7,-98.93427626852831,0,2,3,1
raw,1,>= 0.5,0.5,150937,0.0009076634622392124,0.35,-99.74066758221737,0,2,3,1
raw,2,>= 0.6,0.6,150937,0.00045051909074647037,0.1,-99.54948090925353,0,2,3,1
raw,3,>= 0.8,0.8,150937,3.312640373135811e-05,0.05,-99.9337471925373,0,2,3,1
p1,0,>= 0.2,0.2,127691,0.7496769545230283,0.7,7.096707789004049,1,3,4,1
p1,1,>= 0.5,0.5,127691,0.43450204008113336,0.35,24.14344002318097,1,3,4,1
p1,2,>= 0.6,0.6,127691,0.15785764071077837,0.1,57.85764071077837,1,3,4,1
p1,3,>= 0.8,0.8,127691,0.08488460423992295,0.05,69.76920847984587,1,3,4,1
p1_5,0,>= 0.2,0.2,127691,0.3303678411164452,0.7,-52.80459412622211,1,3,4,1
p1_5,1,>= 0.5,0.5,127691,0.20038217258851446,0.35,-42.747950688995864,1,3,4,1
p1_5,2,>= 0.6,0.6,127691,0.09430578505924458,0.1,-5.694214940755421,1,3,4,1
p1_5,3,>= 0.8,0.8,127691,0.06388077468263229,0.05,27.761549365264564,1,3,4,1
p2,0,>= 0.2,0.2,127691,0.7332779914011167,0.7,4.753998771588108,1,3,4,1
p2,1,>= 0.5,0.5,127691,0.37770085597262143,0.35,7.914530277891845,1,3,4,1
