predictor,bucket_id,bin_label,edge,n_events,alert_rate,target_alert_rate,relative_error_pct,point_idx,mapping_new_fit_month,eval_month,seed
p1_5,0,>= 0.2,0.2,136092,0.24102078006054728,0.7,-65.5684599913504,3,5,6,0
p1_5,1,>= 0.5,0.5,136092,0.13153601975134468,0.35,-62.41828007104437,3,5,6,0
p1_5,2,>= 0.6,0.6,136092,0.056542632924786174,0.1,-43.45736707521383,3,5,6,0
p1_5,3,>= 0.8,0.8,136092,0.036695764629809245,0.05,-26.608470740381513,3,5,6,0
p2,0,>= 0.2,0.2,136092,0.6988581253857684,0.7,-0.16312494489022025,3,5,6,0
p2,1,>= 0.5,0.5,136092,0.3607192193516151,0.35,3.0626341004614654,3,5,6,0
p2,2,>= 0.6,0.6,136092,0.11188019868912207,0.1,11.880198689122059,3,5,6,0
p2,3,>= 0.8,0.8,136092,0.05793874731799077,0.05,15.877494635981538,3,5,6,0
custom,0,>= 0.2,0.2,136092,0.7291097198953649,0.7,4.158531413623561,3,5,6,0
custom,1,>= 0.5,0.5,136092,0.37463627546071776,0.35,7.038935845919367,3,5,6,0
custom,2,>= 0.6,0.6,136092,0.10622960938188872,0.1,6.229609381888713,3,5,6,0
custom,3,>= 0.8,0.8,136092,0.05242042147958734,0.05,4.840842959174668,3,5,6,0
default,0,>= 0.2,0.2,136092,0.7224377626899451,0.7,3.2053946699921614,3,5,6,0
default,1,>= 0.5,0.5,136092,0.3831231813773036,0.35,9.463766107801039,3,5,6,0
default,2,>= 0.6,0.6,136092,0.11841989242571202,0.1,18.419892425712014,3,5,6,0
default,3,>= 0.8,0.8,136092,0.06130411780266291,0.05,22.608235605325806,3,5,6,0
raw,0,>= 0.2,0.2,136092,0.0037107250977280073,0.7,-99.46989641461029,3,5,6,0
raw,1,>= 0.5,0.5,136092,0.0004335302589424801,0.35,-99.87613421173072,3,5,6,0
raw,2,>= 0.6,0.6,136092,0.00019104723275431326,0.1,-99.80895276724569,3,5,6,0
raw,3,>= 0.8,0.8,136092,3.673985245275255e-05,0.05,-99.92652029509449,3,5,6,0
p1,0,>= 0.2,0.2,105580,0.6998105701837469,0.7,-0.027061402321861196,4,6,7,0
p1,1,>= 0.5,0.5,105580,0.3772684220496306,0.35,7.790977728465899,4,6,7,0
p1,2,>= 0.6,0.6,105580,0.12271263496874409,0.1,22.71263496874408,4,6,7,0
p1,3,>= 0.8,0.8,105580,0.06256866830839174,0.05,25.137336616783468,4,6,7,0
p1_5,0,>= 0.2,0.2,105580,0.2231862095093768,0.7,-68.11625578437474,4,6,7,0
p1_5,1,>= 0.5,0.5,105580,0.11982383027088464,0.35,-65.76461992260438,4,6,7,0
p1_5,2,>= 0.6,0.6,105580,0.04957378291343057,0.1,-50.42621708656944,4,6,7,0
p1_5,3,>= 0.8,0.8,105580,0.03225989770789922,0.05,-35.480204584201566,4,6,7,0
p2,0,>= 0.2,0.2,105580,0.6755351392309149,0.7,-3.494980109869293,4,6,7,0
p2,1,>= 0.5,0.5,105580,0.32760939571888614,0.35,-6.397315508889667,4,6,7,0
p2,2,>= 0.6,0.6,105580,0.09120098503504452,0.1,-8.799014964955484,4,6,7,0
p2,3,>= 0.8,0.8,105580,0.04365410115552188,0.05,-12.691797688956244,4,6,7,0
custom,0,>= 0.2,0.2,105580,0.7004546315590073,0.7,0.06494736557248273,4,6,7,0
custom,1,>= 0.5,0.5,105580,0.34730062511839366,0.35,-0.7712499661732344,4,6,7,0
custom,2,>= 0.6,0.6,105580,0.09565258571699185,0.1,-4.347414283008153,4,6,7,0
custom,3,>= 0.8,0.8,105580,0.04545368440992612,0.05,-9.092631180147762,4,6,7,0
default,0,>= 0.2,0.2,105580,0.6979541579844668,0.7,-0.29226314507616435,4,6,7,0
default,1,>= 0.5,0.5,105580,0.3599545368440993,0.35,2.844153384028373,4,6,7,0
default,2,>= 0.6,0.6,105580,0.10784239439287743,0.1,7.842394392877427,4,6,7,0
default,3,>= 0.8,0.8,105580,0.053978026141314646,0.05,7.956052282629286,4,6,7,0
raw,0,>= 0.2,0.2,105580,0.0028130327713582117,0.7,-99.59813817552025,4,6,7,0
raw,1,>= 0.5,0.5,105580,0.0002746732335669634,0.35,-99.92152193326659,4,6,7,0
raw,2,>= 0.6,0.6,105580,0.00012312938056450084,0.1,-99.87687061943551,4,6,7,0
raw,3,>= 0.8,0.8,105580,2.8414472437961737e-05,0.05,-99.94317105512408,4,6,7,0
p1,0,>= 0.2,0.2,156544,0.7155751737530662,0.7,2.2250248218666107,0,2,3,1
p1,1,>= 0.5,0.5,156544,0.41002529640228946,0.35,17.150084686368423,0,2,3,1
